Title,Sentiment
Secrets and Lace (Fatal ...,Neutral
Scarlett Epstein Hates It ...,Neutral
Romero and Juliet: A ...,Neutral
Redeeming Love,Positive
Poses for Artists Volume ...,Neutral
Poems That Make Grown ...,Neutral
"Nightingale, Sing",Neutral
Night Sky with Exit ...,Neutral
Mrs. Houdini,Neutral
Modern Romance,Positive
Miss Peregrineâs Home for ...,Neutral
Louisa: The Extraordinary Life ...,Positive
Little Red,Neutral
Library of Souls (Miss ...,Neutral
Large Print Heart of ...,Positive
I Had a Nice ...,Positive
Hollow City (Miss Peregrineâs ...,Neutral
Grumbles,Neutral
Full Moon over Noahâs ...,Positive
Frostbite (Vampire Academy #2),Neutral
Follow You Home,Neutral
First Steps for New ...,Positive
Finders Keepers (Bill Hodges ...,Neutral
"Fables, Vol. 1: Legends ...",Neutral
Eureka Trivia 6.0,Neutral
Drive: The Surprising Truth ...,Positive
Done Rubbed Out (Reightman ...,Neutral
Doing It Over (Most ...,Positive
Deliciously Ella Every Day: ...,Positive
Dark Notes,Negative
Daring Greatly: How the ...,Positive
Close to You,Neutral
Chasing Heaven: What Dying ...,Neutral
Big Magic: Creative Living ...,Positive
Becoming Wise: An Inquiry ...,Positive
Beauty Restored (Riley Family ...,Neutral
Batman: The Long Halloween ...,Neutral
Batman: The Dark Knight ...,Negative
Ayumi's Violin,Neutral
Anonymous,Neutral
Amy Meets the Saints ...,Neutral
Amid the Chaos,Neutral
Amatus,Neutral
Agnostic: A Spirited Manifesto,Positive
Zealot: The Life and ...,Neutral
You (You #1),Neutral
"Wonder Woman: Earth One, ...",Neutral
Wild Swans,Neutral
Why the Right Went ...,Positive
Whole Lotta Creativity Going ...,Positive
What's It Like in ...,Neutral
"We Are Robin, Vol. ...",Neutral
Walt Disney's Alice in ...,Neutral
V for Vendetta (V ...,Neutral
Until Friday Night (The ...,Neutral
Unbroken: A World War ...,Neutral
Twenty Yawns,Neutral
Through the Woods,Neutral
This Is Where It ...,Neutral
The Year of Magical ...,Positive
The Wright Brothers,Neutral
The White Queen (The ...,Neutral
The Wedding Pact (The ...,Neutral
The Time Keeper,Neutral
The Testament of Mary,Neutral
The Star-Touched Queen,Neutral
The Songs of the ...,Neutral
The Song of Achilles,Neutral
The Rosie Project (Don ...,Neutral
The Power of Habit: ...,Neutral
The Marriage of Opposites,Neutral
The Lucifer Effect: Understanding ...,Neutral
The Long Haul (Diary ...,Neutral
The Loney,Neutral
The Literature Book (Big ...,Neutral
The Last Mile (Amos ...,Neutral
The Immortal Life of ...,Neutral
The Hidden Oracle (The ...,Negative
The Help Yourself Cookbook ...,Neutral
The Guilty (Will Robie ...,Negative
The First Hostage (J.B. ...,Positive
The Dovekeepers,Neutral
The Darkest Lie,Neutral
The Bane Chronicles (The ...,Neutral
The Bad-Ass Librarians of ...,Neutral
The 14th Colony (Cotton ...,Neutral
That Darkness (Gardiner and ...,Neutral
Tastes Like Fear (DI ...,Neutral
Take Me with You,Neutral
Swell: A Year of ...,Neutral
Superman Vol. 1: Before ...,Neutral
Still Life with Bread ...,Neutral
Steve Jobs,Neutral
Sorting the Beef from ...,Neutral
Someone Like You (The ...,Neutral
"So Cute It Hurts!!, ...",Positive
Shtum,Neutral
See America: A Celebration ...,Neutral
salt.,Neutral
Robin War,Neutral
"Red Hood/Arsenal, Vol. 1: ...",Neutral
Rain Fish,Neutral
Quarter Life Poetry: Poems ...,Neutral
Pet Sematary,Neutral
"Overload: How to Unplug, ...",Neutral
Once Was a Time,Neutral
Old School (Diary of ...,Neutral
No Dream Is Too ...,Neutral
"Naruto (3-in-1 Edition), Vol. ...",Neutral
My Name Is Lucy ...,Neutral
My Mrs. Brown,Neutral
My Kind of Crazy,Neutral
Mr. Mercedes (Bill Hodges ...,Neutral
More Than Music (Chasing ...,Positive
Made to Stick: Why ...,Neutral
Luis Paints the World,Neutral
Luckiest Girl Alive,Neutral
Lowriders to the Center ...,Neutral
Love Is a Mix ...,Positive
Looking for Lovely: Collecting ...,Positive
Living Leadership by Insight: ...,Neutral
Let It Out: A ...,Neutral
Lady Midnight (The Dark ...,Negative
"It's All Easy: Healthy, ...",Positive
Island of Dragons (Unwanteds ...,Neutral
I Know What I'm ...,Neutral
I Am Pilgrim (Pilgrim ...,Neutral
Hyperbole and a Half: ...,Negative
"Hush, Hush (Hush, Hush ...",Neutral
Hold Your Breath (Search ...,Neutral
Hamilton: The Revolution,Neutral
Greek Mythic History,Neutral
God: The Most Unpleasant ...,Neutral
Glory over Everything: Beyond ...,Neutral
Feathers: Displays of Brilliant ...,Positive
Far & Away: Places ...,Neutral
Every Last Word,Neutral
Eligible (The Austen Project ...,Neutral
El Deafo,Neutral
Eight Hundred Grapes,Neutral
Eaternity: More than 150 ...,Positive
"Eat Fat, Get Thin",Negative
Don't Get Caught,Neutral
Doctor Sleep (The Shining ...,Neutral
Demigods & Magicians: Percy ...,Neutral
Dear Mr. Knightley,Neutral
Daily Fantasy Sports,Neutral
Crazy Love: Overwhelmed by ...,Neutral
Cometh the Hour (The ...,Neutral
Code Name Verity (Code ...,Neutral
Clockwork Angel (The Infernal ...,Neutral
City of Glass (The ...,Neutral
City of Fallen Angels ...,Neutral
City of Bones (The ...,Neutral
City of Ashes (The ...,Neutral
Cell,Neutral
Catching Jordan (Hundred Oaks),Positive
"Carry On, Warrior: Thoughts ...",Neutral
Carrie,Neutral
Buying In: The Secret ...,Negative
Brain on Fire: My ...,Neutral
Batman: Europa,Neutral
Barefoot Contessa Back to ...,Neutral
Barefoot Contessa at Home: ...,Neutral
Balloon Animals,Neutral
Art Ops Vol. 1,Neutral
Aristotle and Dante Discover ...,Neutral
Angels Walking (Angels Walking ...,Neutral
Angels & Demons (Robert ...,Neutral
All the Light We ...,Positive
Adulthood Is a Myth: ...,Neutral
Abstract City,Neutral
A Time of Torment ...,Neutral
A Study in Scarlet ...,Neutral
A Series of Catastrophes ...,Neutral
A People's History of ...,Neutral
A Man Called Ove,Neutral
A Distant Mirror: The ...,Neutral
A Brush of Wings ...,Neutral
1491: New Revelations of ...,Positive
"The Three Searches, Meaning, ...",Neutral
Searching for Meaning in ...,Neutral
Rook,Neutral
My Kitchen Year: 136 ...,Neutral
13 Hours: The Inside ...,Neutral
Will You Won't You ...,Neutral
Tipping Point for Planet ...,Neutral
The Star-Touched Queen,Neutral
The Silent Sister (Riley ...,Neutral
The Midnight Watch: A ...,Neutral
The Lonely City: Adventures ...,Neutral
The Gray Rhino: How ...,Neutral
The Golden Condom: And ...,Positive
The Epidemic (The Program ...,Neutral
The Dinner Party,Neutral
The Diary of a ...,Neutral
The Children,Neutral
Stars Above (The Lunar ...,Neutral
Snatched: How A Drug ...,Neutral
Raspberry Pi Electronics Projects ...,Neutral
Quench Your Own Thirst: ...,Positive
Psycho: Sanitarium (Psycho #1.5),Neutral
Poisonous (Max Revere Novels ...,Neutral
One with You (Crossfire ...,Neutral
No Love Allowed (Dodge ...,Negative
Murder at the 42nd ...,Neutral
Most Wanted,Positive
"Love, Lies and Spies",Positive
How to Speak Golf: ...,Neutral
Hide Away (Eve Duncan ...,Neutral
Furiously Happy: A Funny ...,Positive
Everyday Italian: 125 Simple ...,Neutral
Equal Is Unfair: America's ...,Negative
Eleanor & Park,Neutral
Dirty (Dive Bar #1),Negative
Can You Keep a ...,Neutral
Boar Island (Anna Pigeon ...,Neutral
A Paris Apartment,Neutral
A la Mode: 120 ...,Neutral
Troublemaker: Surviving Hollywood and ...,Neutral
The Widow,Neutral
The Sleep Revolution: Transforming ...,Neutral
The Improbability of Love,Positive
The Art of Startup ...,Neutral
Take Me Home Tonight ...,Neutral
Sleeping Giants (Themis Files ...,Neutral
Setting the World on ...,Neutral
Playing with Fire,Neutral
Off the Hook (Fishing ...,Neutral
Mothering Sunday,Neutral
"Mother, Can You Not?",Neutral
M Train,Neutral
Lilac Girls,Neutral
Lies and Other Acts ...,Negative
Lab Girl,Neutral
Keep Me Posted,Neutral
It Didn't Start with ...,Neutral
Grey (Fifty Shades #4),Neutral
"Exit, Pursued by a ...",Neutral
Daredevils,Neutral
Cravings: Recipes for What ...,Neutral
Born for This: How ...,Neutral
Arena,Neutral
Adultery,Neutral
A Mother's Reckoning: Living ...,Neutral
A Gentleman's Position (Society ...,Neutral
11/22/63,Neutral
10% Happier: How I ...,Neutral
10-Day Green Smoothie Cleanse: ...,Negative
Without Shame,Neutral
Watchmen,Neutral
Unlimited Intuition Now,Neutral
Underlying Notes,Neutral
The Shack,Neutral
The New Brand You: ...,Positive
The Moosewood Cookbook: Recipes ...,Neutral
The Flowers Lied,Neutral
The Fabric of the ...,Neutral
The Book of Mormon,Neutral
The Art and Science ...,Neutral
The Alien Club,Negative
Suzie Snowflake: One beautiful ...,Positive
Nap-a-Roo,Neutral
NaNo What Now? Finding ...,Neutral
Modern Day Fables,Positive
If I Gave You ...,Neutral
"Fruits Basket, Vol. 9 ...",Neutral
Dress Your Family in ...,Neutral
Don't Forget Steven,Neutral
Chernobyl 01:23:40: The Incredible ...,Positive
Art and Fear: Observations ...,Neutral
A Shard of Ice ...,Neutral
A Hero's Curse (The ...,Neutral
23 Degrees South: A ...,Neutral
Zero to One: Notes ...,Neutral
Why Not Me?,Neutral
When Breath Becomes Air,Neutral
Vagabonding: An Uncommon Guide ...,Positive
The Unlikely Pilgrimage of ...,Negative
The New Drawing on ...,Positive
"The Midnight Assassin: Panic, ...",Neutral
The Martian (The Martian ...,Neutral
The High Mountains of ...,Positive
The Grownup,Neutral
The E-Myth Revisited: Why ...,Neutral
South of Sunshine,Neutral
Smarter Faster Better: The ...,Positive
Silence in the Dark ...,Negative
Shadows of the Past ...,Negative
Roller Girl,Neutral
Rising Strong,Positive
Proofs of God: Classical ...,Neutral
Please Kill Me: The ...,Neutral
Out of Print: City ...,Neutral
My Life Next Door ...,Neutral
Miller's Valley,Neutral
Man's Search for Meaning,Neutral
Love That Boy: What ...,Positive
Living Forward: A Proven ...,Neutral
Les Fleurs du Mal,Neutral
Left Behind (Left Behind ...,Negative
Kill 'Em and Leave: ...,Neutral
Kierkegaard: A Christian Missionary ...,Neutral
John Vassos: Industrial Design ...,Neutral
I'll Give You the ...,Neutral
I Will Find You,Neutral
Hystopia: A Novel,Neutral
Howl and Other Poems,Negative
History of Beauty,Neutral
Heaven is for Real: ...,Positive
Future Shock (Future Shock ...,Neutral
Ender's Game (The Ender ...,Negative
Diary of a Citizen ...,Neutral
Death by Leisure: A ...,Neutral
Brilliant Beacons: A History ...,Positive
Brazen: The Courage to ...,Neutral
Between the World and ...,Neutral
Being Mortal: Medicine and ...,Neutral
A Murder Over a ...,Neutral
32 Yolks,Neutral
"""Most Blessed of the ...",Positive
You Are a Badass: ...,Neutral
Wildlife of New York: ...,Positive
What Happened on Beale ...,Neutral
Unreasonable Hope: Finding Faith ...,Neutral
Under the Tuscan Sun,Neutral
Toddlers Are A**holes: It's ...,Neutral
The Year of Living ...,Neutral
The Whale,Neutral
The Story of Art,Neutral
The Origin of Species,Neutral
The Great Gatsby,Positive
The Good Girl,Positive
The Glass Castle,Neutral
The Faith of Christopher ...,Neutral
The Drowning Girls,Neutral
The Constant Princess (The ...,Neutral
The Bourne Identity (Jason ...,Neutral
The Bachelor Girl's Guide ...,Neutral
The Art Book,Neutral
The 7 Habits of ...,Neutral
Team of Rivals: The ...,Neutral
Steal Like an Artist: ...,Neutral
"Sit, Stay, Love",Positive
Sister Dear,Neutral
"Shrunken Treasures: Literary Classics, ...",Neutral
"Rich Dad, Poor Dad",Neutral
Raymie Nightingale,Neutral
Playing from the Heart,Neutral
Nightstruck: A Novel,Neutral
Naturally Lean: 125 Nourishing ...,Neutral
Meternity,Neutral
Memoirs of a Geisha,Neutral
Like Never Before (Walker ...,Neutral
Life of Pi,Neutral
Leave This Song Behind: ...,Negative
King's Folly (The Kinsman ...,Neutral
John Adams,Neutral
How to Cook Everything ...,Neutral
How to Be a ...,Neutral
Good in Bed (Cannie ...,Positive
"Fruits Basket, Vol. 7 ...",Neutral
For the Love: Fighting ...,Positive
Finding God in the ...,Neutral
Every Heart a Doorway ...,Neutral
Delivering the Truth (Quaker ...,Neutral
Counted With the Stars ...,Neutral
"Chronicles, Vol. 1",Neutral
Blue Like Jazz: Nonreligious ...,Neutral
Benjamin Franklin: An American ...,Neutral
At The Existentialist CafÃ©: ...,Neutral
A Summer In Europe,Neutral
A Short History of ...,Neutral
A Gathering of Shadows ...,Neutral
The Sound Of Love,Positive
The Rise and Fall ...,Neutral
The Perks of Being ...,Neutral
The Mysterious Affair at ...,Neutral
The Man Who Mistook ...,Neutral
The Makings of a ...,Neutral
The Joy of Cooking,Positive
The Invention of Wings,Neutral
The Hobbit (Middle-Earth Universe),Neutral
The Great Railway Bazaar,Positive
The Golden Compass (His ...,Positive
The God Delusion,Neutral
The Girl You Left ...,Neutral
The Fellowship of the ...,Neutral
The Collected Poems of ...,Neutral
The Barefoot Contessa Cookbook,Neutral
Tell the Wolves I'm ...,Neutral
Ship Leaves Harbor: Essays ...,Neutral
Pride and Prejudice,Neutral
Musicophilia: Tales of Music ...,Neutral
Mere Christianity,Negative
Me Before You (Me ...,Neutral
In the Woods (Dublin ...,Neutral
In Cold Blood,Negative
How to Stop Worrying ...,Neutral
Give It Back,Neutral
"Girl, Interrupted",Neutral
Fun Home: A Family ...,Positive
"Fruits Basket, Vol. 6 ...",Neutral
Deception Point,Neutral
"Death Note, Vol. 6: ...",Neutral
Catherine the Great: Portrait ...,Positive
Better Homes and Gardens ...,Positive
An Unquiet Mind: A ...,Neutral
A Year in Provence ...,Neutral
World Without End (The ...,Neutral
"Will Grayson, Will Grayson ...",Neutral
Why Save the Bankers?: ...,Neutral
Where She Went (If ...,Neutral
What If?: Serious Scientific ...,Negative
Two Summers,Neutral
This Is Your Brain ...,Neutral
The Secret Garden,Negative
The Raven King (The ...,Neutral
The Raven Boys (The ...,Neutral
The Power Greens Cookbook: ...,Neutral
The Metamorphosis,Neutral
The Mathews Men: Seven ...,Neutral
The Little Paris Bookshop,Negative
The Hiding Place,Neutral
The Grand Design,Positive
The Firm,Negative
The Fault in Our ...,Neutral
The False Prince (The ...,Negative
The Expatriates,Neutral
The Dream Thieves (The ...,Neutral
The Darkest Corners,Neutral
The Crossover,Neutral
The 5th Wave (The ...,Neutral
Tell the Wind and ...,Neutral
Tell Me Three Things,Neutral
Talking to Girls About ...,Neutral
Siddhartha,Neutral
Shiver (The Wolves of ...,Neutral
Remember Me?,Neutral
Red Dragon (Hannibal Lecter ...,Neutral
Peak: Secrets from the ...,Neutral
My Mother Was Nuts,Neutral
Mexican Today: New and ...,Neutral
Maybe Something Beautiful: How ...,Positive
Lola and the Boy ...,Neutral
Logan Kade (Fallen Crest ...,Neutral
Last One Home (New ...,Neutral
Killing Floor (Jack Reacher ...,Neutral
Kill the Boy Band,Neutral
Isla and the Happily ...,Positive
If I Stay (If ...,Neutral
I Know Why the ...,Neutral
Harry Potter and the ...,Neutral
"Fruits Basket, Vol. 5 ...",Neutral
Foundation (Foundation (Publication Order) ...,Neutral
Fool Me Once,Neutral
Find Her (Detective D.D. ...,Neutral
Evicted: Poverty and Profit ...,Neutral
Drama,Neutral
Dracula the Un-Dead,Neutral
Digital Fortress,Neutral
"Death Note, Vol. 5: ...",Neutral
"Data, A Love Story: ...",Positive
Critique of Pure Reason,Positive
Booked,Neutral
"Blue Lily, Lily Blue ...",Neutral
Approval Junkie: Adventures in ...,Neutral
An Abundance of Katherines,Neutral
America's War for the ...,Neutral
Alight (The Generations Trilogy ...,Neutral
A Girl's Guide to ...,Neutral
A Game of Thrones ...,Negative
A Feast for Crows ...,Neutral
A Clash of Kings ...,Neutral
Vogue Colors A to ...,Neutral
The Shining (The Shining ...,Neutral
The Pilgrim's Progress,Neutral
The Perfect Play (Play ...,Positive
The Passion of Dolssa,Neutral
The Jazz of Physics: ...,Neutral
The Hunger Games (The ...,Neutral
The Hound of the ...,Neutral
The Gunning of America: ...,Neutral
The Geography of Bliss: ...,Neutral
The Demonists (Demonist #1),Neutral
The Demon Prince of ...,Neutral
The Bone Hunters (Lexy ...,Neutral
The Beast (Black Dagger ...,Negative
Some Women,Neutral
Shopaholic Ties the Knot ...,Neutral
Paper and Fire (The ...,Neutral
Outlander (Outlander #1),Neutral
Orchestra of Exiles: The ...,Neutral
No One Here Gets ...,Neutral
Night Shift (Night Shift ...,Neutral
Needful Things,Neutral
Mockingjay (The Hunger Games ...,Neutral
Misery,Neutral
Little Women (Little Women ...,Negative
It,Neutral
Harry Potter and the ...,Neutral
Harry Potter and the ...,Neutral
Harry Potter and the ...,Neutral
Harry Potter and the ...,Neutral
Harry Potter and the ...,Neutral
Gone with the Wind,Neutral
God Is Not Great: ...,Negative
Girl With a Pearl ...,Neutral
"Fruits Basket, Vol. 4 ...",Neutral
Far From True (Promise ...,Positive
Dark Lover (Black Dagger ...,Negative
Confessions of a Shopaholic ...,Neutral
Changing the Game (Play ...,Negative
Candide,Neutral
Can You Keep a ...,Neutral
Atlas Shrugged,Neutral
Animal Farm,Neutral
A Walk to Remember,Neutral
A New Earth: Awakening ...,Positive
A History of God: ...,Neutral
'Salem's Lot,Neutral
Zero History (Blue Ant ...,Neutral
Wuthering Heights,Neutral
World War Z: An ...,Neutral
Wild: From Lost to ...,Neutral
"Where'd You Go, Bernadette",Neutral
When You Are Engulfed ...,Neutral
We the People: The ...,Neutral
We Are All Completely ...,Neutral
Walk the Edge (Thunder ...,Neutral
Voyager (Outlander #3),Neutral
Very Good Lives: The ...,Positive
Vegan Vegetarian Omnivore: Dinner ...,Neutral
"Unstuffed: Decluttering Your Home, ...",Neutral
Under the Banner of ...,Neutral
Two Boys Kissing,Neutral
Twilight (Twilight #1),Neutral
Twenties Girl,Neutral
Trespassing Across America: One ...,Neutral
Three-Martini Lunch,Neutral
"Thinking, Fast and Slow",Neutral
The Wild Robot,Neutral
The Wicked + The ...,Neutral
The Undomestic Goddess,Neutral
The Travelers,Neutral
The Tipping Point: How ...,Neutral
The Thing About Jellyfish,Neutral
The Stand,Neutral
The Smitten Kitchen Cookbook,Neutral
The Silkworm (Cormoran Strike ...,Neutral
"The Sandman, Vol. 3: ...",Neutral
The Rose & the ...,Positive
The Road to Little ...,Negative
The Rise of Theodore ...,Neutral
The Restaurant at the ...,Neutral
The Rest Is Noise: ...,Neutral
The Red Tent,Neutral
The Purpose Driven Life: ...,Neutral
The Purest Hook (Second ...,Neutral
The Picture of Dorian ...,Neutral
The Paris Wife,Neutral
The Obsession,Neutral
The Nightingale,Neutral
The New Guy (and ...,Positive
The Nanny Diaries (Nanny ...,Neutral
The Name of God ...,Neutral
The Maze Runner (The ...,Neutral
The Lover's Dictionary,Neutral
The Lonely Ones,Neutral
The Lean Startup: How ...,Neutral
The Last Painting of ...,Neutral
"The Land of 10,000 ...",Neutral
The Infinities,Neutral
The Husband's Secret,Negative
The Hitchhiker's Guide to ...,Neutral
The Guns of August,Neutral
The Guernsey Literary and ...,Neutral
The Goldfinch,Neutral
The Giver (The Giver ...,Neutral
The Girl with All ...,Neutral
The Girl Who Played ...,Neutral
The Girl Who Kicked ...,Neutral
The Exiled,Neutral
The End of Faith: ...,Neutral
"The Elegant Universe: Superstrings, ...",Positive
The Disappearing Spoon: And ...,Neutral
The Devil Wears Prada ...,Neutral
The Demon-Haunted World: Science ...,Neutral
The Day the Crayons ...,Neutral
The Da Vinci Code ...,Neutral
The Cuckoo's Calling (Cormoran ...,Neutral
The Complete Stories and ...,Neutral
The Complete Poems,Neutral
The Catcher in the ...,Neutral
The Cat in the ...,Neutral
The Case for Christ ...,Neutral
The Book Thief,Neutral
The Book of Basketball: ...,Neutral
The Blind Side: Evolution ...,Negative
The Autobiography of Malcolm ...,Neutral
The Art of Simple ...,Neutral
The Art of Fielding,Neutral
"Surely You're Joking, Mr. ...",Positive
Stiff: The Curious Lives ...,Negative
Spilled Milk: Based on ...,Neutral
Something Borrowed (Darcy & ...,Neutral
Something Blue (Darcy & ...,Neutral
Soldier (Talon #3),Neutral
Shopaholic & Baby (Shopaholic ...,Neutral
Seven Days in the ...,Neutral
Seven Brief Lessons on ...,Neutral
Scarlet (The Lunar Chronicles ...,Neutral
Sarah's Key,Neutral
"Saga, Volume 3 (Saga ...",Neutral
Running with Scissors,Neutral
Rogue Lawyer (Rogue Lawyer ...,Neutral
Rise of the Rocket ...,Neutral
Rework,Neutral
Reservations for Two,Neutral
Red: The True Story ...,Positive
Ready Player One,Positive
Quiet: The Power of ...,Neutral
Prodigy: The Graphic Novel ...,Neutral
Persepolis: The Story of ...,Neutral
Packing for Mars: The ...,Neutral
Outliers: The Story of ...,Neutral
Original Fake,Neutral
Orange Is the New ...,Positive
One for the Money ...,Neutral
Notes from a Small ...,Negative
Night (The Night Trilogy ...,Neutral
Neither Here nor There: ...,Neutral
Naked,Neutral
Morning Star (Red Rising ...,Neutral
Miracles from Heaven: A ...,Neutral
Midnight Riot (Peter Grant/ ...,Neutral
Me Talk Pretty One ...,Positive
Manuscript Found in Accra,Neutral
Lust & Wonder,Neutral
Lila (Gilead #3),Neutral
"Life, the Universe and ...",Neutral
Life Without a Recipe,Neutral
Life After Life,Neutral
Letter to a Christian ...,Neutral
Let's Pretend This Never ...,Neutral
Legend (Legend #1),Neutral
"Lean In: Women, Work, ...",Neutral
Lamb: The Gospel According ...,Neutral
Lady Renegades (Rebel Belle ...,Neutral
Jurassic Park (Jurassic Park ...,Neutral
It's Never Too Late ...,Negative
Is Everyone Hanging Out ...,Neutral
Into the Wild,Neutral
Inferno (Robert Langdon #4),Neutral
In the Garden of ...,Neutral
If I Run (If ...,Neutral
I've Got Your Number,Neutral
I Am Malala: The ...,Neutral
Hungry Girl Clean & ...,Positive
House of Lost Worlds: ...,Neutral
House of Leaves,Neutral
Horrible Bear!,Negative
Holidays on Ice,Neutral
